No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Jumlah,Ruang,Keterangan
271,Incubator,YP 100,YP 100,SN 05094271,2005,1,Irna Perinatology,Rusak
272,Incubator,YP 100,YP 100,SN 06045020,2006,1,Irna Perinatology,Rusak
273,Infant Warmer,SANI,SN 100/W,SN SANM021-22-133,2022,1,Irna Perinatology,
274,Infant Warmer,FAZZINI,BN-100A,SN 1190730039,2022,1,Irna Perinatology,
275,Infant Warmer,ATOM,C20-0304,SN 615652200024,2022,1,Irna Perinatology,WARMER 1 BAIK SISANYA RUSAK
276,Infant Warmer,ATOM,C20-0304,SN 615652200025,2022,1,Irna Perinatology,
277,Infant Warmer,Medix,SM 401,SN 1151-05,2008,1,Irna Perinatology,
278,Infant Warmer,Medix,SM 401,SN 5089-13,2013,1,Irna Perinatology,
279,Infant Warmer,Medix,SM 401,SN 5001-13,2013,1,Irna Perinatology,
280,Infus Pump,B-Braun,8713070,SN 227241,2013,1,Irna Perinatology,
281,Infus Pump,B-Braun,8713070,SN 227252,2013,1,Irna Perinatology,INFUSPUMP BAIK 5
282,Infus Pump,Optima PTIS,Optima PTIS,SN 097390/23495695,2018,1,Irna Perinatology,
283,Kasur Matras,-,-,-,,3,Irna Perinatology,TIDAK DIKALIBRASI
284,Korentang,-,-,-,,1,Irna Perinatology,TIDAK DIKALIBRASI
285,Laringoscope set,-        ,-,-,-,1,Irna Perinatology,TIDAK DIKALIBRASI
286,Monitor Lengkap + EKG,Altus Omni II,-,SN OMNI 209103045,2009,1,Irna Perinatology,BAIK
287,Monitor Lengkap + EKG,,,,,,Irna Perinatology,BAIK
288,Neirbekken / Bengkok,-,-,-,,1,Irna Perinatology,TIDAK DI KALIBRASI
289,Neo Transport Incubator,Fanem,ITS 158 TS,SN 3070110074,2012,1,Irna Perinatology,Baterai Tidak Baik
290,Neo Transport Incubator,Medix,TR 200,SN 2111-11,-,1,Irna Perinatology,BAIK
291,Neo Transport Incubator,Medix,TR 200,SN 2102-11,2017,1,Irna Perinatology,BAIK
