Unnamed: 0,No.,Nama Barang,Merk,Tipe,Serial Number,Tahun,Jumlah,Cara Perolehan,Nilai Perolehan,Ruangan,Lokasi Saat Ini,Kondisi Alat,ASPAK,KIB,NON KIB dan ASPAK,KETERANGAN
,,Timbangan Berat Badan,Laica,,,,1,,,Irna Bedah,,BAIK,,,False,
,,Torniquet,-,,,2019,2,,,Irna Bedah,,BAIK,,,False,
,,Trolly emergency,Mak,,C413.0630,,1,,,Irna Bedah,,RUSAK BERAT,,,False,
,,Trolly Tindakan ( GV),Mak,-,-,,1,,,Irna Bedah,,BAIK,,,False,
,,Tromol kecil,Health,,,,1,,,Irna Bedah,,BAIK,,,False,
,,Tromol sedang,Cremona,,,2019,,,,Irna Bedah,,BAIK,,,False,
,,Urinal stainles / plastik,,,,,,,,Irna Bedah,,RUSAK RINGAN,,,False,
,,Alat GDS,"Gluco Dr.Auto""A",ACM-4000,GC21AA02027,,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Ambu Bag,Ambu,,,,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Ambu Bag,Ambu,,,,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Ambu Bag - Adult,GreatCare,,GCR/03/01,2023,1,,,Irna Penyakit Dalam,,RUSAK BERAT,,,False,
,,Ambu Bag - Infant,GreatCare,,GCR/03/05,2023,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Ambu Bag - Paediatrk,GreatCare,,GCR/03/03,2023,1,,,Irna Penyakit Dalam, ,BAIK,,,False,
,,Defibrilator/DC Shock,Inomed,Kardio AID 200B,16206447,2017,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,EKG,Mindray,BeneHeart-12A,FX 17003815,2021,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Film Vewer,,,,,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Infuse Pump,Precisionemed IMN,Accu Drip 10,AD 001230070,2023,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Infuse Pump,Precisionemed IMN,Accu Drip 10,AD 001230062,2023,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Infuse Pump,Presenius Kabi,Optima PT IS,027390/23495781,2018,1,,,Irna Penyakit Dalam,,RUSAK BERAT,,,False,
,,Infuse Pump,Presenius Kabi,Optima PT IS,027390/23495699,2018,1,,,Irna Penyakit Dalam,,RUSAK BERAT,,,False,
